g,time,width
0.01,570.4897299516525,38.76953125
0.01,571.7946224289436,38.96484375
0.01,573.0995149062347,39.16015625
0.01,574.4044073835258,39.16015625
0.01,575.7092998608169,39.35546875
0.01,577.014192338108,39.35546875
0.01,578.3190848153992,39.55078125
0.01,579.6239772926903,39.55078125
0.01,580.9288697699814,39.74609375
0.01,582.2337622472725,39.74609375
0.01,583.5386547245636,39.94140625
0.01,584.8435472018547,39.94140625
0.01,586.1484396791458,40.13671875
0.01,587.4533321564369,40.13671875
0.01,588.758224633728,40.33203125
0.01,590.0631171110191,40.33203125
0.01,591.3680095883102,40.52734375
0.01,592.6729020656013,40.52734375
0.01,593.9777945428924,40.72265625
0.01,595.2826870201835,40.72265625
0.01,596.5875794974746,40.91796875
0.01,597.8924719747657,41.11328125
0.01,599.1973644520568,41.11328125
0.01,600.5022569293479,41.30859375
0.01,601.807149406639,41.30859375
0.01,603.1120418839301,41.50390625
0.01,604.4169343612213,41.50390625
0.01,605.7218268385124,41.69921875
0.01,607.0267193158035,41.69921875
0.01,608.3316117930946,41.89453125
0.01,609.6365042703857,41.89453125
0.01,610.9413967476768,42.08984375
0.01,612.2462892249679,42.08984375
0.01,613.551181702259,42.28515625
0.01,614.8560741795501,42.48046875
0.01,616.1609666568412,42.48046875
0.01,617.4658591341323,42.67578125
0.01,618.7707516114234,42.67578125
0.01,620.0756440887145,42.87109375
0.01,621.3805365660056,42.87109375
0.01,622.6854290432967,43.06640625
0.01,623.9903215205878,43.06640625
0.01,625.2952139978789,43.26171875
0.01,626.60010647517,43.26171875
0.01,627.9049989524611,43.45703125
0.01,629.2098914297522,43.65234375
0.01,630.5147839070434,43.65234375
0.01,631.8196763843345,43.84765625
0.01,633.1245688616256,43.84765625
0.01,634.4294613389167,44.04296875
0.01,635.7343538162078,44.04296875
0.01,637.0392462934989,44.23828125
0.01,638.119081688821,44.23828125
0.01,639.1989170841431,44.43359375
0.01,640.2787524794652,44.43359375
0.01,641.3585878747873,44.62890625
0.01,642.4384232701094,44.62890625
0.01,643.5182586654315,44.82421875
0.01,644.5980940607536,44.82421875
0.01,645.6779294560757,44.82421875
0.01,646.7577648513978,45.01953125
0.01,647.83760024672,45.01953125
0.01,648.917435642042,45.21484375
0.01,649.9972710373642,45.21484375
0.01,651.0771064326863,45.41015625
0.01,652.1569418280084,45.41015625
0.01,653.2367772233305,45.60546875
0.01,654.3166126186526,45.60546875
0.01,655.3964480139747,45.80078125
0.01,656.4762834092968,45.80078125
0.01,657.5561188046189,45.99609375
0.01,658.635954199941,45.99609375
0.01,659.7157895952631,45.99609375
0.01,660.7956249905852,46.19140625
0.01,661.8754603859073,46.19140625
0.01,662.9552957812294,46.38671875
0.01,664.0351311765515,46.38671875
0.01,665.1149665718737,46.58203125
0.01,666.1948019671958,46.58203125
0.01,667.2746373625179,46.77734375
0.01,668.35447275784,46.77734375
0.01,669.4343081531621,46.97265625
0.01,670.5141435484842,46.97265625
0.01,671.5939789438063,47.16796875
0.01,672.6738143391284,47.16796875
0.01,673.7536497344505,47.36328125
0.01,674.8334851297726,47.36328125
0.01,675.9133205250947,47.55859375
0.01,676.9931559204168,47.55859375
0.01,678.0729913157389,47.55859375
0.01,679.152826711061,47.75390625
0.01,680.2326621063831,47.75390625
0.01,681.3124975017053,47.94921875
0.01,682.3923328970274,47.94921875
0.01,683.4721682923495,48.14453125
0.01,684.5520036876716,48.14453125
0.01,685.6318390829937,48.33984375
0.01,686.7116744783158,48.33984375
0.01,687.7915098736379,48.53515625
0.01,688.87134526896,48.53515625
0.01,689.9511806642821,48.73046875
0.01,691.0310160596042,48.73046875
0.01,692.1108514549263,48.92578125
0.01,693.1906868502484,48.92578125
0.01,694.2705222455705,49.12109375
0.01,695.3503576408926,49.12109375
