g,t,width
0.1,88.33951750595314,30.06344558321132
0.1,88.64909493638467,30.06344558321132
0.1,88.9586723668162,30.258662762323084
0.1,89.26824979724773,30.258662762323084
0.1,89.57782722767926,30.258662762323084
0.1,89.8874046581108,30.45387994143485
0.1,90.19698208854233,30.45387994143485
0.1,90.50655951897386,30.45387994143485
0.1,90.81613694940539,30.649097120546614
0.1,91.12571437983692,30.649097120546614
0.1,91.43529181026845,30.84431429965838
0.1,91.74486924069998,30.84431429965838
0.1,92.05444667113152,30.84431429965838
0.1,92.36402410156305,31.03953147877013
0.1,92.72701025574362,31.03953147877013
0.1,93.0899964099242,31.03953147877013
0.1,93.45298256410477,31.234748657881894
0.1,93.81596871828535,31.234748657881894
0.1,94.17895487246592,31.42996583699366
0.1,94.5419410266465,31.42996583699366
0.1,94.90492718082707,31.62518301610541
0.1,95.26791333500765,31.62518301610541
0.1,95.63089948918822,31.62518301610541
0.1,95.9938856433688,31.820400195217175
0.1,96.43081101026465,31.820400195217175
0.1,96.8677363771605,32.01561737432894
0.1,97.22648194348284,32.01561737432894
0.1,97.58522750980518,32.210834553440705
0.1,97.94397307612752,32.210834553440705
0.1,98.30271864244986,32.210834553440705
0.1,98.6614642087722,32.40605173255247
0.1,99.02020977509454,32.40605173255247
0.1,99.37895534141688,32.60126891166422
0.1,99.73770090773922,32.60126891166422
0.1,100.09644647406157,32.60126891166422
0.1,100.4551920403839,32.796486090775986
0.1,100.81393760670625,32.796486090775986
0.1,101.17268317302859,32.99170326988775
0.1,101.53142873935093,32.99170326988775
0.1,101.89017430567327,32.99170326988775
0.1,102.24891987199561,33.186920448999516
0.1,102.60766543831795,33.186920448999516
0.1,103.03514288018673,33.38213762811128
0.1,103.4626203220555,33.38213762811128
0.1,103.89009776392427,33.57735480722303
0.1,104.31757520579305,33.57735480722303
0.1,104.74505264766182,33.772571986334796
0.1,105.1725300895306,33.772571986334796
0.1,105.60000753139937,33.96778916544656
0.1,106.02748497326814,33.96778916544656
0.1,106.45496241513692,34.163006344558326
0.1,106.88243985700569,34.163006344558326
0.1,107.30991729887447,34.35822352367009
0.1,107.73739474074324,34.35822352367009
0.1,108.16487218261202,34.55344070278184
0.1,108.59234962448079,34.55344070278184
0.1,109.01982706634956,34.55344070278184
0.1,109.44730450821834,34.74865788189361
0.1,109.87478195008711,34.74865788189361
0.1,110.30225939195589,34.94387506100537
0.1,110.72973683382466,34.94387506100537
0.1,111.15721427569343,35.13909224011714
0.1,111.58469171756221,35.13909224011714
0.1,112.01216915943098,35.3343094192289
0.1,112.43964660129976,35.3343094192289
0.1,112.86712404316853,35.52952659834065
0.1,113.2946014850373,35.52952659834065
0.1,113.72207892690608,35.52952659834065
0.1,114.14955636877485,35.72474377745242
0.1,114.57703381064363,35.72474377745242
0.1,115.08460203899446,35.91996095656418
0.1,115.5921702673453,35.91996095656418
0.1,116.09973849569613,36.11517813567593
0.1,116.60730672404696,36.11517813567593
0.1,117.1148749523978,36.3103953147877
0.1,117.62244318074863,36.3103953147877
0.1,118.13001140909947,36.50561249389946
0.1,118.6375796374503,36.70082967301123
0.1,119.14514786580114,36.70082967301123
0.1,119.65271609415197,36.89604685212299
0.1,120.1602843225028,36.89604685212299
0.1,120.66785255085364,37.09126403123474
0.1,121.17542077920447,37.09126403123474
0.1,121.6829890075553,37.28648121034651
0.1,122.19055723590614,37.28648121034651
0.1,122.69812546425698,37.48169838945827
0.1,123.20569369260781,37.48169838945827
0.1,123.71326192095864,37.67691556857004
0.1,124.22083014930948,37.67691556857004
0.1,124.72839837766031,37.8721327476818
0.1,125.23596660601115,37.8721327476818
0.1,125.74353483436198,38.067349926793554
0.1,126.25110306271282,38.067349926793554
0.1,126.75867129106365,38.26256710590532
0.1,127.26623951941448,38.26256710590532
0.1,127.77380774776532,38.457784285017084
0.1,128.28137597611615,38.457784285017084
0.1,128.788944204467,38.65300146412885
0.1,129.29651243281782,38.65300146412885
0.1,129.80408066116865,38.65300146412885
0.1,130.3116488895195,38.848218643240614
0.1,130.81921711787032,38.848218643240614
0.1,131.32678534622116,39.043435822352365
0.1,131.834353574572,39.043435822352365
0.1,132.34192180292283,39.23865300146413
0.1,132.84949003127366,39.23865300146413
0.1,133.3570582596245,39.433870180575894
0.1,133.86462648797533,39.433870180575894
0.1,134.37219471632616,39.629087359687645
0.1,134.879762944677,39.629087359687645
0.1,135.38733117302783,39.82430453879941
0.1,135.89489940137867,39.82430453879941
0.1,136.4024676297295,40.019521717911175
0.1,136.91003585808033,40.019521717911175
0.1,137.41760408643117,40.21473889702294
0.1,137.925172314782,40.21473889702294
0.1,138.43274054313284,40.21473889702294
0.1,138.94030877148367,40.409956076134705
0.1,139.4478769998345,40.409956076134705
0.1,139.95544522818534,40.605173255246456
0.1,140.46301345653617,40.605173255246456
0.1,140.970581684887,40.80039043435822
0.1,141.47814991323784,40.80039043435822
0.1,141.98571814158868,40.995607613469986
0.1,142.4932863699395,40.995607613469986
0.1,143.00085459829035,40.995607613469986
0.1,143.50842282664118,41.19082479258175
0.1,144.015991054992,41.19082479258175
0.1,144.52355928334285,41.386041971693516
0.1,145.03112751169368,41.386041971693516
0.1,145.53869574004452,41.581259150805266
0.1,146.04626396839535,41.581259150805266
0.1,146.55383219674619,41.77647632991703
0.1,147.06140042509702,41.77647632991703
0.1,147.56896865344785,41.77647632991703
0.1,148.0765368817987,41.971693509028796
0.1,148.48924443423664,41.971693509028796
0.1,148.9019519866746,42.16691068814056
0.1,149.31465953911254,42.16691068814056
0.1,149.7273670915505,42.16691068814056
0.1,150.19124274988772,42.362127867252326
0.1,150.65511840822495,42.362127867252326
0.1,151.11899406656218,42.362127867252326
0.1,151.5828697248994,42.55734504636408
0.1,152.04674538323664,42.55734504636408
0.1,152.51062104157387,42.55734504636408
0.1,152.87683735444756,42.75256222547584
0.1,152.93486954884773,42.75256222547584
0.1,152.9929017432479,42.75256222547584
0.1,153.05093393764807,42.75256222547584
0.1,153.1669983264484,42.75256222547584
0.1,153.28306271524875,42.75256222547584
0.1,153.3991271040491,42.75256222547584
0.1,153.75203163378941,42.75256222547584
0.1,154.10493616352974,42.94777940458761
0.1,154.45784069327007,42.94777940458761
0.1,154.8107452230104,42.94777940458761
0.1,155.16364975275073,43.14299658369937
0.1,155.51655428249106,43.14299658369937
0.1,155.8694588122314,43.14299658369937
0.1,156.22236334197171,43.14299658369937
0.1,156.57526787171204,43.33821376281114
0.1,156.9684757246624,43.33821376281114
0.1,157.2875551019644,43.33821376281114
0.1,157.60663447926638,43.33821376281114
0.1,157.92571385656836,43.53343094192289
0.1,158.30647628496243,43.53343094192289
0.1,158.6872387133565,43.53343094192289
0.1,159.06800114175056,43.72864812103465
0.1,159.51629784167397,43.72864812103465
0.1,159.9645945415974,43.72864812103465
0.1,160.4128912415208,43.92386530014642
0.1,160.86118794144423,43.92386530014642
0.1,161.30948464136765,43.92386530014642
0.1,161.75778134129106,44.11908247925817
0.1,162.20607804121448,44.11908247925817
0.1,162.70919469921893,44.11908247925817
0.1,163.21231135722337,44.31429965836993
0.1,163.71542801522781,44.31429965836993
0.1,164.21854467323226,44.31429965836993
0.1,164.82021341628658,44.5095168374817
0.1,165.4218821593409,44.5095168374817
0.1,166.02355090239521,44.70473401659346
0.1,166.62521964544953,44.70473401659346
0.1,167.3287948595376,44.89995119570523
0.1,167.90327485207484,44.89995119570523
0.1,168.4777548446121,44.89995119570523
0.1,169.05223483714934,45.09516837481698
0.1,169.6267148296866,45.09516837481698
0.1,170.2627590443328,45.29038555392874
0.1,170.898803258979,45.29038555392874
0.1,171.41748257292122,45.29038555392874
0.1,171.93616188686343,45.48560273304051
0.1,172.45484120080565,45.48560273304051
0.1,172.97352051474786,45.48560273304051
0.1,173.57948947087507,45.68081991215227
0.1,173.66958020554497,45.68081991215227
0.1,173.6838364066299,45.68081991215227
0.1,173.6980926077148,45.68081991215227
0.1,173.72660500988462,45.68081991215227
0.1,173.75511741205443,45.68081991215227
0.1,173.88595173112049,45.68081991215227
0.1,174.01678605018654,45.68081991215227
0.1,174.21739325677447,45.68081991215227
0.1,174.4180004633624,45.68081991215227
0.1,174.61860766995034,45.68081991215227
0.1,175.01581388357081,45.87603709126404
