g,t,h_max
1.0,109.19373539498415,5.0
1.0,109.26041432463028,5.0
1.0,109.3270932542764,5.0
1.0,109.40757743536548,5.0
1.0,109.48806161645456,5.0
1.0,109.56854579754363,5.0
1.0,109.64902997863271,5.0
1.0,109.72951415972179,5.0
1.0,109.80999834081086,5.0
1.0,109.89048252189994,5.0
1.0,109.97096670298902,5.0
1.0,110.0514508840781,5.0
1.0,110.0630172424425,5.0
1.0,110.0745836008069,5.0
1.0,110.08614995917131,5.0
1.0,110.09771631753571,5.0
1.0,110.11646538801863,5.0
1.0,110.13521445850154,5.0
1.0,110.15396352898445,5.0
1.0,110.20949597038206,5.0
1.0,110.26502841177968,5.0
1.0,110.3205608531773,5.0
1.0,110.37929893168364,5.0
1.0,110.43803701018997,5.0
1.0,110.49677508869631,5.0
1.0,110.55551316720265,5.0
1.0,110.64011519969822,5.0
1.0,110.72471723219378,5.0
1.0,110.80931926468935,5.0
1.0,110.89392129718492,5.0
1.0,110.97852332968048,5.0
1.0,111.06312536217605,5.0
1.0,111.14772739467162,5.0
1.0,111.23232942716719,5.0
1.0,111.24432702754773,5.0
1.0,111.25632462792827,5.0
1.0,111.2683222283088,5.0
1.0,111.28031982868934,5.0
1.0,111.29846772678906,5.0
1.0,111.31661562488877,5.0
1.0,111.33476352298848,5.0
1.0,111.38917403038836,5.0
1.0,111.44358453778824,5.0
1.0,111.49799504518812,5.0
1.0,111.55417248538055,5.0
1.0,111.61034992557298,5.0
1.0,111.6665273657654,5.0
1.0,111.72270480595783,5.0
1.0,111.80857243570865,5.0
1.0,111.89444006545948,5.0
1.0,111.9803076952103,5.0
1.0,112.06617532496112,5.0
1.0,112.15204295471194,5.0
1.0,112.23791058446277,5.0
1.0,112.32377821421359,5.0
1.0,112.40964584396441,5.0
1.0,112.49551347371523,5.0
1.0,112.58138110346606,5.0
1.0,112.66724873321688,5.0
1.0,112.7531163629677,5.0
1.0,112.83898399271852,5.0
1.0,112.92485162246935,5.0
1.0,113.01071925222017,5.0
1.0,113.09658688197099,5.0
1.0,113.18245451172182,5.0
1.0,113.26832214147264,5.0
1.0,113.35418977122346,5.0
1.0,113.42368017404702,5.0
1.0,113.49317057687058,5.0
1.0,113.56266097969414,5.0
1.0,113.6321513825177,5.0
1.0,113.70164178534127,5.0
1.0,113.77113218816483,5.0
1.0,113.84062259098839,5.0
1.0,113.91011299381195,5.0
1.0,113.97960339663551,5.0
1.0,114.04909379945907,5.0
1.0,114.12768630190214,5.0
1.0,114.20627880434522,5.0
1.0,114.28487130678829,5.0
1.0,114.34535203733117,5.0
1.0,114.39538444825939,5.0
1.0,114.44541685918762,5.0
1.0,114.49544927011584,5.0
1.0,114.54548168104407,5.0
1.0,114.61003938068264,5.0
1.0,114.6745970803212,5.0
1.0,114.73915477995978,5.0
1.0,114.80371247959835,5.0
1.0,114.86827017923692,5.0
1.0,114.93282787887549,5.0
1.0,114.99738557851406,5.0
1.0,115.06194327815263,5.0
